2017-12-12,招商证券      ,603638,艾迪精密 ,艾迪精密(603638)高端装备跨年推荐之二：加大与龙头企业合作-171209                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,中泰证券      ,002311,海大集团 ,"
    标的选择上,契合行业变化和个股情况,我们依旧重点推荐公司质地和未来两年业绩都较为优秀的个股,从估值水平和业绩增速两方面情况综合考虑,重点推荐正邦科技(18年出栏增速高达90%,利润增速超过40%,明年估值12X)、牧原股份(18年出栏增速60%,利润增速20%以上,估值18X)、海大集团(利润增速超过30%,估值21X)、生物股份(利润增速超过30%,估值22X)、隆平高科(利润增速30%,估值28X)"                                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002714,牧原股份 ,"
    标的选择上,契合行业变化和个股情况,我们依旧重点推荐公司质地和未来两年业绩都较为优秀的个股,从估值水平和业绩增速两方面情况综合考虑,重点推荐正邦科技(18年出栏增速高达90%,利润增速超过40%,明年估值12X)、牧原股份(18年出栏增速60%,利润增速20%以上,估值18X)、海大集团(利润增速超过30%,估值21X)、生物股份(利润增速超过30%,估值22X)、隆平高科(利润增速30%,估值28X)"                                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,000998,隆平高科 ,"另一方面,政策主题仍在等待催化,无论是土地制度还是玉米深加工相关政策(补贴、燃料乙醇等),都有在后续几个月推出的可能性,但今年市场对于主题的热度显然较往年偏低,选择与政策相关的低估值个股更为安全,重点推荐隆平高科"                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,600057,象屿股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,600195,中牧股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,600201,生物股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,601952,苏垦农发 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,603566,普莱柯  ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,603609,禾丰牧业 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,000930,中粮生化 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,000998,隆平高科 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002041,登海种业 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002157,正邦科技 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002234,民和股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002299,圣农发展 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002311,海大集团 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002385,大北农  ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002458,益生股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002714,牧原股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002746,仙坛股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,300498,温氏股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,600057,象屿股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,600195,中牧股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,600201,生物股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,601952,苏垦农发 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,603566,普莱柯  ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,603609,禾丰牧业 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,000930,中粮生化 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,000998,隆平高科 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002041,登海种业 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002157,正邦科技 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002234,民和股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002299,圣农发展 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002311,海大集团 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002385,大北农  ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002458,益生股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002714,牧原股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,002746,仙坛股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,中泰证券      ,300498,温氏股份 ,"
    【重点推荐标的】种植链:隆平高科、登海种业、中粮生化、象屿股份;饲料板块:海大集团、大北农;动保板块:生物股份、中牧股份、普莱柯;生猪板块:正邦科技、温氏股份、牧原股份;禽链:益生股份、民和股份、仙坛股份;建议关注圣农发展、禾丰牧业、苏垦农发等"                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017950/index.phtml,sina ,
2017-12-12,东吴证券      ,600038,中直股份 ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
2017-12-12,东吴证券      ,603678,火炬电子 ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
2017-12-12,东吴证券      ,000768,中航飞机 ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
2017-12-12,东吴证券      ,300447,全信股份 ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
2017-12-12,东吴证券      ,300456,耐威科技 ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
2017-12-12,东吴证券      ,300474,景嘉微  ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
2017-12-12,东吴证券      ,600038,中直股份 ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
2017-12-12,东吴证券      ,603678,火炬电子 ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
2017-12-12,东吴证券      ,000768,中航飞机 ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
2017-12-12,东吴证券      ,300447,全信股份 ,"横向来看,我们认为航空领域新型军机的加速列装能使总装生产商直接受益,建议关注【中航飞机】、【中直股份】;纵向来看,我们看好军工产业链中景气度高的元器件及组件、新材料、芯片制造等环节,建议关注【耐威科技】、【火炬电子】、【景嘉微】、【全信股份】"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4017948/index.phtml,sina ,
